 ./CARDS/YoungORCA_Vs_Vp_Rho_lsqr_kernel_bs1000_smLVZdQdz_disc                    ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   246   3815000.0     5399.38    13442.20    13442.20     7157.58     7157.58     1.00000      231.00    15210.00
   247   3820000.0     5396.89    13436.34    13436.34     7155.34     7155.34     1.00000      231.00    15210.00
   248   3825000.0     5394.41    13430.49    13430.49     7153.11     7153.11     1.00000      231.00    15210.00
   249   3830000.0     5391.92    13424.64    13424.64     7150.88     7150.88     1.00000      231.00    15210.00
   250   3835000.0     5389.43    13418.80    13418.80     7148.65     7148.65     1.00000      231.00    15210.00
   251   3840000.0     5386.94    13412.96    13412.96     7146.42     7146.42     1.00000      231.00    15210.00
   252   3845000.0     5384.45    13407.12    13407.12     7144.19     7144.19     1.00000      231.00    15210.00
   253   3850000.0     5381.97    13401.29    13401.29     7141.97     7141.97     1.00000      231.00    15210.00
   254   3855000.0     5379.48    13395.47    13395.47     7139.75     7139.75     1.00000      231.00    15210.00
   255   3860000.0     5376.99    13389.64    13389.64     7137.52     7137.52     1.00000      231.00    15210.00
   256   3865000.0     5374.51    13383.82    13383.82     7135.30     7135.30     1.00000      231.00    15210.00
   257   3870000.0     5372.02    13378.00    13378.00     7133.07     7133.07     1.00000      231.00    15210.00
   258   3875000.0     5369.53    13372.19    13372.19     7130.84     7130.84     1.00000      231.00    15210.00
   259   3880000.0     5367.04    13366.38    13366.38     7128.62     7128.62     1.00000      231.00    15210.00
   260   3885000.0     5364.55    13360.58    13360.58     7126.40     7126.40     1.00000      231.00    15210.00
   261   3890000.0     5362.06    13354.78    13354.78     7124.18     7124.18     1.00000      231.00    15210.00
   262   3895000.0     5359.58    13348.98    13348.98     7121.96     7121.96     1.00000      231.00    15210.00
   263   3900000.0     5357.09    13343.18    13343.18     7119.74     7119.74     1.00000      231.00    15210.00
   264   3905000.0     5354.60    13337.39    13337.39     7117.52     7117.52     1.00000      231.00    15210.00
   265   3910000.0     5352.11    13331.60    13331.60     7115.30     7115.30     1.00000      231.00    15210.00
   266   3915000.0     5349.62    13325.82    13325.82     7113.08     7113.08     1.00000      231.00    15210.00
   267   3920000.0     5347.13    13320.03    13320.03     7110.86     7110.86     1.00000      231.00    15210.00
   268   3925000.0     5344.64    13314.25    13314.25     7108.65     7108.65     1.00000      231.00    15210.00
   269   3930000.0     5342.15    13308.47    13308.47     7106.43     7106.43     1.00000      231.00    15210.00
   270   3935000.0     5339.66    13302.70    13302.70     7104.21     7104.21     1.00000      231.00    15210.00
   271   3940000.0     5337.17    13296.93    13296.93     7101.99     7101.99     1.00000      231.00    15210.00
   272   3945000.0     5334.68    13291.16    13291.16     7099.77     7099.77     1.00000      231.00    15210.00
   273   3950000.0     5332.19    13285.39    13285.39     7097.56     7097.56     1.00000      231.00    15210.00
   274   3955000.0     5329.70    13279.62    13279.62     7095.35     7095.35     1.00000      231.00    15210.00
   275   3960000.0     5327.21    13273.86    13273.86     7093.13     7093.13     1.00000      231.00    15210.00
   276   3965000.0     5324.72    13268.10    13268.10     7090.91     7090.91     1.00000      231.00    15210.00
   277   3970000.0     5322.22    13262.34    13262.34     7088.70     7088.70     1.00000      231.00    15210.00
   278   3975000.0     5319.73    13256.58    13256.58     7086.49     7086.49     1.00000      231.00    15210.00
   279   3980000.0     5317.24    13250.83    13250.83     7084.27     7084.27     1.00000      231.00    15210.00
   280   3985000.0     5314.74    13245.08    13245.08     7082.06     7082.06     1.00000      231.00    15210.00
